Genero,Ubica,Edad,Salarios
m,Rural,64.0,2
f,Urbano,62.0,1
f,Urbano,64.0,4
m,Urbano,63.0,2
m,Urbano,60.0,3
m,Urbano,59.0,3
f,Rural,65.0,4
f,Urbano,59.0,4
m,Urbano,64.0,4
f,Rural,64.0,3
m,Rural,64.0,3
m,Urbano,62.0,3
m,Urbano,59.0,4
m,Urbano,61.0,2
m,Rural,63.0,2
m,Rural,63.0,5
m,Rural,65.0,4
m,Rural,64.0,5
m,Urbano,61.0,3
f,Rural,63.0,3
m,Rural,60.0,3
m,Urbano,63.0,3
m,Rural,59.0,2
f,Rural,60.0,5
m,Urbano,56.0,3
f,Rural,63.0,5
m,Urbano,65.0,2
f,Urbano,62.0,5
m,Rural,64.0,3
f,Rural,65.0,5
f,Urbano,58.0,4
f,Urbano,64.0,4
m,Urbano,65.0,4
m,Rural,67.0,4
f,Rural,58.0,5
f,Urbano,55.0,2
f,Urbano,62.0,4
f,Rural,63.0,3
f,Urbano,57.0,3
f,Rural,61.0,3
m,Rural,60.0,4
m,Rural,61.0,4
f,Rural,63.0,4
f,Urbano,63.0,4
m,Urbano,61.0,4
f,Rural,60.0,4
f,Rural,60.0,5
f,Urbano,65.0,2
m,Rural,59.0,2
m,Rural,61.0,4
f,Rural,59.0,2
f,Urbano,64.0,5
f,Rural,61.0,4
m,Rural,64.0,4
m,Rural,64.0,4
f,Rural,61.0,5
f,Urbano,61.0,3
f,Urbano,60.0,3
m,Urbano,60.0,5
f,Rural,65.0,4
m,Rural,64.0,3
m,Urbano,60.0,4
f,Urbano,60.0,4
m,Urbano,62.0,5
f,Rural,63.0,3
f,Rural,64.0,4
m,Urbano,62.0,3
m,Urbano,63.0,4
m,Rural,57.0,4
f,Rural,60.0,3
f,Rural,62.0,5
m,Urbano,63.0,4
m,Rural,61.0,3
m,Rural,60.0,4
m,Urbano,64.0,2
f,Rural,57.0,5
f,Urbano,60.0,5
m,Rural,67.0,3
f,Urbano,63.0,4
m,Rural,64.0,5
f,Urbano,63.0,3
f,Rural,61.0,3
m,Urbano,61.0,2
f,Rural,64.0,4
m,Rural,59.0,4
f,Urbano,60.0,4
f,Urbano,61.0,5
m,Rural,62.0,5
m,Rural,62.0,2
m,Urbano,64.0,4
m,Urbano,64.0,5
m,Rural,63.0,5
m,Rural,62.0,5
m,Urbano,61.0,4
f,Rural,63.0,4
m,Urbano,64.0,4
f,Urbano,61.0,4
f,Rural,60.0,4
f,Urbano,59.0,5
m,Urbano,63.0,2
f,Urbano,65.0,3
f,Rural,60.0,4
m,Urbano,66.0,5
m,Rural,65.0,3
f,Rural,63.0,3
m,Urbano,58.0,4
f,Urbano,56.0,4
m,Urbano,62.0,5
m,Urbano,60.0,4
m,Rural,59.0,5
f,Rural,58.0,5
m,Urbano,60.0,5
m,Rural,62.0,2
f,Urbano,62.0,4
f,Rural,63.0,3
f,Urbano,59.0,3
f,Rural,60.0,5
m,Urbano,62.0,2
f,Rural,65.0,3
m,Rural,63.0,2
m,Rural,63.0,5
f,Rural,64.0,3
f,Urbano,62.0,2
f,Urbano,62.0,4
f,Urbano,62.0,5
f,Urbano,63.0,4
f,Urbano,65.0,4
f,Urbano,62.0,4
m,Rural,62.0,4
f,Urbano,60.0,3
f,Urbano,62.0,4
m,Rural,59.0,3
m,Urbano,62.0,4
f,Rural,61.0,4
m,Rural,62.0,4
f,Rural,66.0,4
f,Urbano,61.0,5
f,Urbano,61.0,2
m,Rural,64.0,4
m,Rural,60.0,4
f,Rural,60.0,5
f,Rural,62.0,5
f,Urbano,63.0,5
m,Rural,63.0,5
f,Urbano,60.0,4
m,Urbano,59.0,4
f,Rural,64.0,3
f,Urbano,62.0,2
f,Rural,59.0,5
m,Rural,58.0,4
m,Urbano,66.0,4
f,Urbano,62.0,5
f,Rural,60.0,4
m,Urbano,63.0,3
m,Urbano,59.0,3
m,Rural,61.0,3
f,Urbano,67.0,5
m,Rural,67.0,3
m,Rural,65.0,2
m,Urbano,64.0,2
m,Urbano,61.0,5
f,Urbano,64.0,3
m,Urbano,62.0,2
f,Rural,61.0,4
f,Rural,64.0,4
f,Rural,64.0,3
f,Rural,58.0,5
f,Urbano,59.0,2
m,Urbano,64.0,5
f,Urbano,63.0,3
m,Rural,61.0,5
m,Rural,61.0,4
m,Urbano,62.0,5
f,Rural,65.0,4
f,Rural,59.0,5
f,Rural,60.0,3
f,Rural,62.0,3
f,Urbano,65.0,4
f,Urbano,60.0,5
f,Rural,65.0,4
m,Urbano,55.0,5
m,Urbano,60.0,5
m,Rural,66.0,5
m,Rural,60.0,3
f,Rural,63.0,4
f,Urbano,66.0,5
m,Urbano,58.0,5
m,Urbano,61.0,3
f,Urbano,60.0,3
f,Urbano,61.0,5
m,Urbano,62.0,3
f,Urbano,61.0,3
f,Rural,62.0,4
m,Urbano,64.0,4
f,Rural,60.0,4
f,Rural,62.0,2
f,Rural,61.0,1
f,Rural,62.0,5
m,Rural,61.0,4
f,Urbano,62.0,4
m,Urbano,57.0,4
m,Rural,57.0,3
m,Urbano,64.0,3
f,Urbano,60.0,5
f,Urbano,60.0,4
f,Rural,60.0,5
m,Rural,63.0,4
f,Rural,62.0,4
m,Rural,63.0,3
f,Urbano,63.0,3
f,Rural,61.0,3
f,Rural,62.0,4
m,Urbano,66.0,5
m,Rural,63.0,4
m,Urbano,62.0,3
f,Rural,63.0,3
f,Rural,63.0,5
m,Urbano,59.0,4
m,Urbano,63.0,4
f,Urbano,63.0,4
m,Urbano,66.0,4
f,Urbano,60.0,2
m,Urbano,65.0,5
f,Urbano,64.0,4
f,Rural,61.0,3
m,Urbano,63.0,4
m,Urbano,55.0,4
m,Rural,59.0,5
f,Urbano,57.0,3
f,Urbano,61.0,4
f,Rural,61.0,3
m,Rural,62.0,4
f,Urbano,67.0,4
m,Rural,62.0,4
m,Rural,60.0,4
m,Rural,59.0,3
m,Rural,64.0,2
m,Urbano,60.0,1
f,Rural,57.0,2
m,Rural,62.0,5
f,Rural,56.0,3
f,Rural,59.0,4
f,Rural,63.0,4
f,Urbano,60.0,4
m,Urbano,63.0,4
m,Urbano,62.0,5
m,Rural,64.0,2
m,Urbano,61.0,5
f,Urbano,61.0,5
m,Rural,65.0,3
f,Urbano,62.0,3
f,Urbano,65.0,4
m,Rural,63.0,4
f,Urbano,67.0,5
f,Rural,55.0,4
m,Urbano,63.0,5
f,Rural,62.0,3
f,Urbano,60.0,5
m,Rural,59.0,4
m,Rural,63.0,4
m,Rural,61.0,5
m,Rural,64.0,3
f,Rural,65.0,4
m,Rural,63.0,5
m,Rural,59.0,4
f,Rural,61.0,2
f,Urbano,65.0,4
f,Rural,61.0,1
f,Rural,63.0,3
m,Rural,61.0,3
f,Urbano,61.0,3
f,Urbano,60.0,5
f,Rural,62.0,4
m,Urbano,59.0,3
f,Urbano,66.0,2
m,Rural,62.0,4
m,Urbano,61.0,5
f,Urbano,59.0,4
f,Urbano,67.0,3
m,Rural,61.0,3
f,Urbano,57.0,4
m,Urbano,60.0,3
f,Urbano,64.0,3
m,Urbano,62.0,3
m,Rural,63.0,3
f,Rural,61.0,5
f,Urbano,62.0,4
f,Urbano,61.0,4
f,Rural,64.0,4
f,Rural,63.0,4
m,Urbano,64.0,4
f,Urbano,61.0,5
m,Urbano,63.0,4
m,Urbano,58.0,3
f,Rural,60.0,2
m,Urbano,66.0,5
m,Rural,59.0,4
m,Rural,62.0,4
f,Urbano,64.0,4
m,Urbano,64.0,3
f,Rural,61.0,4
f,Rural,65.0,4
m,Urbano,64.0,4
m,Urbano,60.0,4
m,Urbano,59.0,5
f,Rural,64.0,3
f,Rural,64.0,4
f,Rural,63.0,2
f,Urbano,64.0,4
f,Rural,65.0,3
m,Rural,60.0,3
m,Rural,58.0,4
m,Rural,63.0,3
f,Urbano,61.0,4
f,Urbano,61.0,3
m,Rural,64.0,4
f,Rural,67.0,5
m,Rural,66.0,2
m,Urbano,63.0,4
m,Urbano,56.0,4
f,Urbano,64.0,5
m,Urbano,59.0,4
m,Urbano,60.0,4
m,Rural,64.0,5
m,Urbano,65.0,3
f,Urbano,67.0,4
m,Rural,61.0,4
m,Rural,59.0,3
m,Rural,61.0,4
m,Urbano,63.0,5
m,Rural,60.0,4
f,Rural,58.0,3
f,Rural,62.0,5
m,Urbano,64.0,3
f,Urbano,66.0,5
m,Rural,61.0,4
m,Rural,60.0,5
f,Rural,59.0,4
f,Urbano,61.0,4
m,Rural,65.0,3
f,Urbano,63.0,4
f,Urbano,64.0,4
m,Rural,65.0,4
f,Rural,60.0,3
m,Rural,58.0,4
m,Rural,59.0,4
f,Rural,61.0,2
f,Rural,63.0,5
f,Urbano,63.0,4
f,Urbano,58.0,3
m,Rural,61.0,5
f,Urbano,64.0,3
m,Rural,64.0,2
m,Rural,62.0,2
f,Rural,67.0,5
f,Rural,60.0,3
f,Urbano,64.0,5
f,Rural,60.0,4
f,Urbano,61.0,4
f,Rural,61.0,3
m,Rural,65.0,2
m,Urbano,63.0,3
m,Urbano,62.0,4
f,Rural,65.0,3
m,Urbano,56.0,4
m,Rural,61.0,4
m,Urbano,62.0,3
m,Rural,66.0,4
f,Rural,59.0,4
m,Urbano,63.0,5
m,Urbano,61.0,3
f,Urbano,61.0,3
m,Urbano,62.0,3
m,Rural,60.0,4
f,Rural,62.0,5
m,Urbano,64.0,2
m,Rural,61.0,5
f,Urbano,67.0,3
f,Rural,63.0,4
f,Rural,61.0,4
f,Rural,64.0,3
f,Rural,60.0,3
m,Rural,60.0,3
m,Rural,60.0,3
m,Urbano,63.0,4
m,Rural,63.0,4
f,Rural,63.0,5
