Genero,Ubica,Edad,Salarios
f,Urbano,43.0,4
m,Urbano,42.0,2
f,Rural,38.0,4
m,Urbano,45.0,4
f,Urbano,39.0,3
f,Urbano,44.0,5
m,Urbano,43.0,5
f,Rural,47.0,1
m,Urbano,39.0,3
m,Urbano,44.0,4
m,Rural,46.0,3
f,Urbano,43.0,5
f,Urbano,41.0,4
f,Rural,43.0,3
f,Rural,40.0,3
m,Rural,37.0,5
m,Rural,41.0,4
m,Urbano,43.0,4
f,Urbano,42.0,3
m,Rural,42.0,5
f,Rural,40.0,3
m,Urbano,42.0,5
m,Rural,40.0,4
f,Urbano,35.0,5
f,Urbano,38.0,4
f,Urbano,38.0,4
m,Urbano,38.0,4
f,Rural,45.0,4
m,Rural,42.0,3
f,Rural,41.0,4
f,Urbano,44.0,3
f,Rural,43.0,2
m,Urbano,43.0,5
m,Urbano,43.0,4
f,Urbano,41.0,3
f,Rural,43.0,2
f,Urbano,40.0,3
f,Rural,40.0,3
m,Urbano,46.0,5
f,Rural,41.0,3
f,Urbano,40.0,3
f,Rural,43.0,2
f,Rural,45.0,3
m,Urbano,44.0,5
m,Urbano,38.0,5
f,Rural,40.0,4
m,Urbano,41.0,3
f,Urbano,40.0,2
m,Urbano,43.0,5
m,Urbano,41.0,2
f,Rural,44.0,5
f,Rural,39.0,3
m,Rural,42.0,4
m,Urbano,44.0,3
m,Urbano,39.0,4
m,Urbano,44.0,5
m,Urbano,47.0,3
f,Urbano,43.0,3
m,Urbano,40.0,4
m,Urbano,46.0,4
m,Rural,45.0,5
f,Rural,41.0,4
f,Urbano,41.0,5
m,Rural,44.0,2
f,Rural,38.0,5
m,Urbano,40.0,3
f,Urbano,46.0,5
m,Urbano,41.0,3
f,Urbano,38.0,2
f,Rural,45.0,4
m,Urbano,35.0,4
f,Urbano,37.0,5
m,Urbano,46.0,3
f,Urbano,43.0,5
m,Urbano,42.0,5
f,Rural,43.0,5
m,Rural,41.0,2
m,Rural,43.0,5
m,Rural,47.0,5
m,Urbano,44.0,3
m,Urbano,48.0,4
f,Rural,45.0,3
f,Rural,44.0,5
f,Rural,37.0,3
f,Urbano,44.0,3
m,Rural,42.0,4
m,Rural,36.0,4
m,Urbano,36.0,3
m,Rural,40.0,5
m,Urbano,40.0,5
m,Urbano,43.0,3
f,Rural,44.0,4
m,Urbano,47.0,4
f,Urbano,42.0,4
f,Rural,43.0,4
m,Urbano,48.0,3
m,Urbano,46.0,3
f,Urbano,41.0,4
m,Rural,37.0,4
m,Rural,37.0,4
f,Rural,44.0,4
f,Urbano,42.0,3
f,Urbano,45.0,1
m,Urbano,43.0,4
m,Urbano,41.0,3
f,Urbano,42.0,5
f,Urbano,44.0,5
f,Rural,41.0,5
f,Rural,42.0,4
f,Urbano,41.0,3
m,Rural,43.0,3
m,Urbano,39.0,3
m,Urbano,48.0,4
f,Urbano,48.0,1
m,Rural,40.0,4
f,Urbano,41.0,4
m,Urbano,41.0,5
m,Urbano,43.0,2
f,Rural,43.0,4
f,Rural,41.0,4
f,Urbano,41.0,4
f,Urbano,40.0,2
f,Rural,43.0,4
f,Rural,36.0,4
m,Rural,43.0,2
m,Urbano,37.0,5
f,Urbano,40.0,5
f,Urbano,37.0,4
f,Urbano,44.0,3
m,Urbano,44.0,3
m,Urbano,42.0,4
f,Urbano,39.0,3
f,Urbano,43.0,4
f,Rural,45.0,4
m,Rural,45.0,5
f,Urbano,41.0,3
f,Urbano,40.0,4
m,Rural,41.0,3
f,Rural,38.0,4
f,Rural,44.0,4
f,Rural,38.0,4
m,Urbano,44.0,2
f,Urbano,38.0,4
m,Rural,43.0,3
m,Urbano,46.0,3
m,Rural,43.0,5
m,Rural,40.0,4
m,Rural,44.0,3
m,Urbano,44.0,3
m,Urbano,45.0,2
m,Rural,42.0,5
m,Urbano,43.0,3
m,Urbano,44.0,5
f,Rural,43.0,4
m,Urbano,41.0,4
m,Urbano,41.0,4
m,Rural,44.0,4
f,Rural,40.0,5
m,Rural,39.0,3
m,Rural,37.0,5
f,Urbano,41.0,4
m,Rural,41.0,2
m,Rural,40.0,5
m,Urbano,42.0,4
f,Rural,40.0,5
f,Urbano,39.0,3
f,Rural,42.0,4
f,Rural,44.0,4
m,Urbano,37.0,5
m,Urbano,39.0,3
m,Urbano,46.0,4
m,Urbano,39.0,4
f,Urbano,41.0,4
m,Rural,40.0,4
f,Rural,36.0,3
f,Urbano,39.0,3
m,Rural,43.0,2
f,Rural,44.0,3
f,Rural,45.0,5
m,Rural,39.0,4
f,Rural,37.0,3
f,Rural,43.0,3
f,Rural,47.0,4
m,Rural,38.0,3
f,Urbano,38.0,4
m,Rural,42.0,5
m,Urbano,43.0,4
f,Urbano,40.0,4
m,Urbano,38.0,4
m,Rural,41.0,4
f,Rural,42.0,3
f,Urbano,47.0,5
m,Urbano,48.0,4
f,Urbano,41.0,5
f,Urbano,48.0,4
f,Urbano,41.0,3
f,Urbano,45.0,3
m,Urbano,41.0,4
f,Urbano,41.0,3
m,Rural,40.0,3
m,Rural,39.0,2
f,Urbano,41.0,4
f,Rural,39.0,4
m,Rural,43.0,2
f,Rural,42.0,5
m,Rural,38.0,5
m,Urbano,39.0,5
m,Rural,42.0,3
m,Rural,44.0,4
m,Rural,41.0,4
m,Urbano,39.0,5
m,Urbano,45.0,2
f,Urbano,40.0,5
m,Urbano,42.0,5
m,Rural,37.0,4
m,Urbano,44.0,5
f,Urbano,40.0,2
m,Urbano,41.0,2
f,Urbano,46.0,5
m,Urbano,40.0,4
f,Urbano,45.0,2
f,Rural,43.0,4
f,Urbano,41.0,4
f,Rural,38.0,4
f,Urbano,40.0,4
f,Rural,44.0,5
f,Urbano,42.0,4
f,Urbano,45.0,3
f,Urbano,39.0,5
f,Rural,44.0,5
m,Urbano,42.0,5
m,Rural,41.0,4
m,Rural,41.0,5
m,Rural,43.0,5
f,Rural,41.0,5
f,Rural,41.0,3
m,Rural,42.0,4
m,Rural,41.0,4
m,Urbano,37.0,3
m,Urbano,41.0,3
f,Urbano,43.0,4
f,Rural,41.0,3
m,Rural,47.0,4
f,Urbano,42.0,4
m,Rural,39.0,4
m,Urbano,40.0,3
f,Urbano,43.0,4
m,Rural,45.0,5
m,Urbano,47.0,2
m,Rural,40.0,2
m,Rural,42.0,5
f,Urbano,44.0,3
f,Rural,38.0,4
m,Rural,39.0,5
f,Rural,41.0,3
f,Urbano,40.0,4
m,Rural,40.0,4
m,Rural,43.0,3
m,Rural,47.0,4
m,Urbano,45.0,4
m,Urbano,44.0,5
f,Urbano,44.0,5
f,Rural,43.0,4
m,Urbano,42.0,3
m,Rural,42.0,5
f,Urbano,43.0,4
m,Rural,47.0,2
m,Rural,43.0,3
f,Rural,43.0,2
f,Rural,42.0,3
f,Rural,41.0,2
f,Rural,41.0,3
f,Rural,45.0,2
f,Urbano,42.0,3
f,Urbano,42.0,5
f,Urbano,47.0,5
m,Urbano,42.0,4
m,Urbano,45.0,5
f,Urbano,43.0,4
f,Urbano,41.0,5
f,Urbano,41.0,5
f,Rural,48.0,4
f,Urbano,42.0,4
f,Rural,43.0,5
m,Urbano,41.0,3
m,Urbano,43.0,5
m,Urbano,44.0,2
m,Urbano,43.0,2
m,Rural,42.0,5
f,Rural,40.0,2
m,Urbano,46.0,4
m,Rural,44.0,3
f,Urbano,39.0,3
m,Rural,45.0,5
m,Rural,42.0,3
f,Rural,39.0,4
m,Rural,44.0,2
m,Urbano,43.0,3
f,Urbano,37.0,4
f,Urbano,44.0,5
f,Rural,45.0,5
m,Rural,42.0,5
f,Urbano,41.0,5
m,Rural,47.0,2
f,Urbano,38.0,4
f,Rural,38.0,4
m,Rural,44.0,4
f,Urbano,40.0,5
f,Urbano,43.0,3
m,Rural,41.0,5
m,Rural,45.0,4
f,Urbano,43.0,3
m,Rural,39.0,4
f,Urbano,38.0,3
f,Urbano,43.0,5
