Genero,Ubica,Edad,Salarios
f,Rural,39.0,3
m,Urbano,40.0,3
m,Urbano,40.0,2
f,Rural,39.0,3
f,Rural,37.0,3
f,Rural,39.0,0
f,Urbano,39.0,3
m,Rural,38.0,3
f,Rural,39.0,2
f,Urbano,35.0,3
f,Urbano,40.0,3
m,Rural,41.0,5
f,Rural,38.0,4
f,Urbano,39.0,2
f,Urbano,37.0,4
m,Rural,36.0,4
m,Urbano,38.0,3
f,Rural,37.0,4
f,Rural,37.0,2
f,Rural,35.0,4
f,Urbano,37.0,5
f,Urbano,40.0,4
m,Urbano,35.0,5
f,Urbano,37.0,4
f,Rural,40.0,4
m,Urbano,36.0,4
m,Urbano,38.0,3
f,Rural,41.0,4
f,Rural,38.0,4
m,Urbano,38.0,4
f,Urbano,40.0,4
f,Rural,37.0,3
f,Rural,36.0,3
m,Urbano,40.0,4
m,Rural,37.0,2
f,Rural,39.0,2
f,Urbano,37.0,3
m,Urbano,36.0,3
m,Rural,40.0,4
m,Rural,36.0,3
m,Urbano,35.0,3
m,Rural,38.0,4
f,Rural,35.0,3
f,Rural,41.0,5
m,Rural,39.0,5
m,Rural,39.0,4
m,Rural,38.0,5
f,Urbano,36.0,3
m,Urbano,36.0,2
f,Rural,37.0,3
f,Rural,39.0,4
m,Rural,40.0,3
m,Urbano,35.0,4
f,Rural,40.0,5
m,Rural,36.0,4
m,Rural,38.0,4
m,Rural,35.0,3
m,Urbano,40.0,3
m,Urbano,36.0,5
f,Rural,40.0,4
f,Urbano,40.0,4
f,Urbano,38.0,5
m,Urbano,39.0,3
f,Rural,39.0,4
f,Rural,40.0,4
m,Rural,39.0,4
f,Urbano,37.0,4
m,Rural,36.0,5
m,Rural,37.0,4
f,Urbano,37.0,4
f,Urbano,39.0,3
m,Rural,37.0,4
m,Rural,37.0,4
f,Urbano,37.0,3
m,Urbano,41.0,3
f,Rural,37.0,3
m,Urbano,38.0,3
f,Urbano,37.0,3
m,Urbano,38.0,4
f,Urbano,40.0,4
m,Rural,41.0,5
f,Rural,36.0,5
f,Rural,42.0,2
f,Rural,38.0,3
f,Rural,37.0,5
m,Urbano,37.0,5
f,Rural,37.0,2
m,Rural,41.0,5
f,Urbano,38.0,5
f,Urbano,40.0,5
f,Rural,38.0,5
m,Rural,36.0,3
m,Rural,38.0,3
f,Rural,41.0,5
m,Rural,40.0,5
f,Rural,41.0,4
f,Urbano,37.0,5
m,Urbano,39.0,5
f,Rural,33.0,5
f,Urbano,35.0,5
m,Urbano,39.0,5
m,Urbano,39.0,5
m,Urbano,37.0,4
f,Rural,33.0,3
m,Urbano,40.0,5
m,Urbano,39.0,4
m,Urbano,39.0,3
f,Urbano,40.0,4
f,Urbano,40.0,4
m,Urbano,38.0,3
f,Urbano,34.0,4
m,Urbano,38.0,3
m,Rural,37.0,5
m,Urbano,38.0,5
m,Rural,39.0,3
m,Rural,35.0,4
f,Urbano,37.0,3
