Genero,Ubica,Edad,Salarios
f,Urbano,47.0,5
m,Rural,44.0,4
m,Urbano,48.0,4
f,Rural,46.0,3
m,Rural,45.0,3
f,Rural,47.0,4
f,Rural,47.0,4
f,Urbano,45.0,3
m,Urbano,46.0,2
f,Urbano,43.0,3
m,Rural,47.0,4
f,Urbano,47.0,4
f,Urbano,47.0,3
f,Rural,43.0,3
m,Urbano,46.0,4
m,Rural,46.0,4
m,Urbano,47.0,4
m,Rural,46.0,5
f,Rural,48.0,3
m,Rural,44.0,3
m,Rural,46.0,4
f,Rural,45.0,4
m,Urbano,46.0,5
m,Rural,47.0,4
f,Rural,48.0,2
m,Urbano,45.0,3
f,Urbano,47.0,4
f,Urbano,44.0,3
m,Rural,46.0,4
f,Urbano,47.0,4
m,Rural,45.0,3
f,Urbano,46.0,4
m,Rural,47.0,3
m,Rural,47.0,5
m,Urbano,47.0,3
f,Urbano,46.0,3
f,Urbano,46.0,5
m,Rural,46.0,2
m,Rural,47.0,4
f,Rural,49.0,2
f,Rural,46.0,5
f,Urbano,45.0,5
f,Rural,46.0,5
f,Rural,43.0,3
f,Urbano,46.0,4
f,Rural,45.0,4
f,Rural,46.0,5
m,Rural,46.0,4
m,Urbano,47.0,4
f,Rural,46.0,4
f,Urbano,47.0,5
m,Urbano,44.0,4
f,Urbano,44.0,4
f,Urbano,46.0,5
f,Rural,45.0,4
m,Rural,46.0,2
m,Urbano,46.0,3
f,Rural,46.0,1
m,Urbano,47.0,2
m,Urbano,48.0,3
f,Rural,45.0,4
m,Urbano,46.0,4
f,Urbano,46.0,4
f,Urbano,46.0,5
m,Rural,47.0,4
m,Urbano,43.0,5
m,Rural,49.0,4
f,Urbano,45.0,2
m,Rural,46.0,5
m,Urbano,47.0,5
f,Urbano,45.0,3
f,Rural,47.0,4
m,Rural,47.0,4
f,Urbano,47.0,5
m,Urbano,45.0,5
m,Rural,49.0,2
f,Rural,46.0,4
m,Urbano,45.0,4
f,Rural,47.0,5
m,Rural,46.0,4
f,Urbano,47.0,4
f,Urbano,41.0,4
f,Rural,48.0,2
m,Urbano,46.0,4
m,Urbano,46.0,3
m,Urbano,45.0,5
m,Rural,47.0,3
m,Rural,47.0,3
m,Rural,46.0,3
m,Rural,48.0,4
f,Rural,46.0,5
m,Urbano,45.0,4
m,Rural,45.0,4
f,Urbano,45.0,2
f,Urbano,47.0,4
m,Urbano,46.0,4
m,Rural,46.0,4
f,Rural,47.0,3
m,Urbano,45.0,5
m,Rural,45.0,3
m,Urbano,46.0,3
m,Urbano,47.0,3
f,Urbano,47.0,3
f,Rural,46.0,4
m,Urbano,47.0,2
m,Rural,48.0,5
m,Rural,45.0,5
m,Rural,45.0,4
f,Rural,48.0,5
f,Urbano,44.0,2
m,Rural,47.0,4
f,Rural,44.0,5
f,Urbano,45.0,4
m,Rural,47.0,2
m,Urbano,46.0,3
f,Urbano,46.0,4
m,Urbano,47.0,4
f,Rural,44.0,5
m,Urbano,46.0,2
f,Urbano,47.0,3
f,Rural,46.0,3
f,Urbano,45.0,2
f,Urbano,45.0,3
m,Rural,47.0,4
m,Rural,44.0,4
f,Urbano,47.0,5
f,Rural,45.0,4
f,Urbano,46.0,3
f,Urbano,47.0,5
f,Urbano,47.0,5
m,Rural,46.0,4
m,Urbano,46.0,4
f,Rural,47.0,3
m,Rural,48.0,4
f,Urbano,47.0,5
f,Urbano,45.0,5
m,Urbano,43.0,1
m,Rural,49.0,5
f,Urbano,44.0,4
f,Rural,48.0,4
f,Urbano,47.0,5
m,Rural,46.0,2
m,Urbano,47.0,2
m,Rural,45.0,4
m,Rural,48.0,5
f,Rural,45.0,4
m,Rural,47.0,3
f,Urbano,47.0,5
f,Rural,46.0,4
m,Rural,49.0,4
f,Rural,47.0,2
m,Urbano,47.0,3
m,Urbano,45.0,4
f,Rural,46.0,5
f,Urbano,48.0,3
m,Rural,45.0,3
m,Urbano,43.0,3
m,Urbano,46.0,2
f,Urbano,45.0,3
f,Urbano,46.0,4
m,Rural,47.0,5
f,Rural,45.0,3
f,Rural,46.0,2
m,Rural,45.0,3
f,Urbano,45.0,1
f,Rural,46.0,3
f,Urbano,47.0,4
f,Urbano,46.0,4
f,Urbano,47.0,3
f,Rural,47.0,2
m,Urbano,46.0,4
m,Rural,45.0,4
f,Rural,45.0,4
m,Urbano,44.0,3
f,Rural,46.0,5
m,Urbano,46.0,3
m,Rural,49.0,4
f,Urbano,46.0,3
f,Urbano,44.0,3
m,Rural,48.0,3
m,Rural,43.0,4
m,Rural,44.0,4
f,Urbano,46.0,3
f,Rural,46.0,3
m,Urbano,48.0,4
f,Rural,44.0,5
m,Urbano,44.0,4
f,Rural,45.0,3
m,Urbano,45.0,4
f,Urbano,44.0,4
m,Urbano,46.0,3
m,Rural,45.0,5
m,Rural,44.0,5
f,Urbano,45.0,3
f,Rural,47.0,5
m,Urbano,45.0,4
f,Urbano,46.0,4
m,Rural,47.0,5
m,Rural,46.0,3
m,Urbano,45.0,2
m,Rural,46.0,2
m,Urbano,45.0,3
m,Urbano,46.0,4
m,Urbano,45.0,2
f,Urbano,47.0,3
m,Urbano,45.0,3
f,Rural,45.0,5
m,Urbano,46.0,4
m,Urbano,48.0,4
f,Rural,47.0,4
f,Rural,47.0,5
m,Urbano,45.0,3
m,Rural,47.0,4
f,Rural,49.0,3
f,Urbano,48.0,4
f,Rural,47.0,4
m,Rural,47.0,4
f,Urbano,45.0,4
m,Rural,47.0,4
