Genero,Ubica,Edad,Salarios
f,Rural,58.0,4
f,Urbano,54.0,4
m,Rural,54.0,4
m,Urbano,54.0,2
m,Rural,54.0,2
f,Rural,55.0,4
m,Urbano,54.0,3
m,Urbano,56.0,4
m,Urbano,52.0,4
m,Rural,57.0,4
f,Urbano,55.0,5
m,Urbano,53.0,3
f,Rural,56.0,4
m,Urbano,55.0,3
m,Rural,54.0,5
f,Urbano,54.0,3
f,Rural,56.0,4
f,Rural,55.0,3
m,Rural,51.0,4
f,Urbano,55.0,1
m,Urbano,56.0,4
f,Urbano,53.0,4
f,Rural,55.0,4
f,Urbano,55.0,3
m,Rural,54.0,3
m,Rural,53.0,3
f,Urbano,54.0,5
m,Urbano,54.0,3
m,Rural,53.0,5
m,Rural,56.0,4
m,Rural,54.0,3
f,Urbano,56.0,4
m,Rural,52.0,3
m,Urbano,55.0,4
m,Rural,55.0,4
f,Urbano,54.0,2
m,Rural,56.0,4
m,Rural,54.0,4
f,Urbano,54.0,4
m,Rural,54.0,3
m,Rural,54.0,4
m,Urbano,52.0,3
m,Urbano,54.0,1
f,Rural,54.0,4
m,Urbano,57.0,5
m,Rural,53.0,4
m,Urbano,55.0,4
m,Urbano,54.0,5
m,Rural,53.0,4
m,Rural,52.0,3
f,Urbano,56.0,3
m,Urbano,55.0,3
f,Rural,56.0,4
f,Urbano,54.0,4
m,Rural,52.0,4
m,Rural,52.0,3
m,Urbano,54.0,4
m,Urbano,52.0,3
m,Rural,52.0,4
f,Urbano,55.0,4
m,Rural,54.0,5
m,Urbano,55.0,4
f,Rural,55.0,3
m,Urbano,53.0,4
f,Rural,53.0,2
m,Rural,53.0,4
f,Urbano,54.0,4
f,Rural,56.0,3
m,Urbano,52.0,4
m,Urbano,56.0,4
m,Rural,55.0,3
m,Rural,54.0,4
f,Urbano,55.0,2
m,Urbano,54.0,4
f,Urbano,51.0,4
m,Rural,54.0,4
f,Rural,53.0,4
f,Urbano,55.0,2
f,Rural,55.0,5
f,Rural,54.0,3
m,Rural,55.0,4
m,Urbano,56.0,2
f,Rural,54.0,4
m,Urbano,54.0,4
f,Urbano,54.0,3
f,Rural,54.0,4
m,Rural,52.0,4
m,Rural,56.0,2
m,Urbano,54.0,3
f,Urbano,54.0,4
f,Rural,55.0,5
f,Urbano,54.0,3
f,Urbano,53.0,4
f,Rural,54.0,2
f,Urbano,54.0,3
m,Urbano,53.0,4
m,Rural,55.0,3
f,Urbano,50.0,5
m,Rural,54.0,5
f,Rural,53.0,3
m,Urbano,55.0,4
f,Urbano,52.0,2
f,Rural,53.0,3
m,Rural,57.0,5
f,Rural,53.0,5
f,Urbano,55.0,3
m,Rural,54.0,4
f,Rural,54.0,4
m,Urbano,53.0,5
f,Rural,55.0,4
f,Rural,55.0,4
f,Urbano,55.0,4
m,Urbano,54.0,3
f,Rural,53.0,4
m,Rural,55.0,3
m,Rural,53.0,4
m,Urbano,53.0,5
m,Rural,55.0,3
f,Rural,56.0,3
f,Urbano,54.0,4
f,Rural,54.0,3
f,Urbano,52.0,3
f,Rural,55.0,5
m,Rural,51.0,4
m,Urbano,52.0,5
m,Rural,53.0,3
m,Urbano,54.0,5
m,Rural,55.0,5
m,Urbano,54.0,3
f,Rural,55.0,5
f,Urbano,53.0,4
m,Urbano,57.0,3
m,Urbano,54.0,5
m,Urbano,52.0,3
f,Urbano,55.0,4
m,Rural,54.0,4
f,Rural,54.0,2
f,Rural,54.0,2
f,Urbano,53.0,4
m,Urbano,54.0,4
m,Rural,55.0,2
f,Urbano,53.0,5
m,Rural,54.0,4
f,Rural,54.0,4
f,Urbano,54.0,3
f,Urbano,56.0,5
f,Rural,55.0,2
f,Urbano,51.0,2
f,Urbano,55.0,5
f,Rural,52.0,5
f,Urbano,55.0,3
f,Urbano,56.0,3
m,Urbano,56.0,2
f,Urbano,55.0,4
m,Urbano,52.0,3
f,Urbano,54.0,4
f,Urbano,54.0,4
m,Urbano,54.0,4
f,Urbano,54.0,4
m,Urbano,54.0,2
f,Urbano,55.0,2
f,Urbano,54.0,3
m,Urbano,56.0,4
f,Urbano,55.0,5
f,Urbano,52.0,4
m,Urbano,55.0,3
f,Urbano,53.0,3
m,Urbano,53.0,5
m,Rural,53.0,2
f,Urbano,53.0,3
f,Rural,55.0,3
f,Rural,53.0,4
f,Rural,56.0,4
m,Urbano,55.0,4
m,Urbano,54.0,5
m,Urbano,53.0,4
m,Rural,52.0,3
f,Urbano,54.0,3
f,Rural,55.0,5
f,Urbano,53.0,5
f,Urbano,56.0,4
m,Rural,54.0,3
f,Rural,54.0,5
m,Urbano,53.0,3
f,Urbano,52.0,4
m,Urbano,52.0,4
m,Urbano,53.0,3
f,Rural,52.0,5
f,Rural,52.0,2
f,Rural,54.0,5
m,Rural,53.0,5
f,Urbano,56.0,3
m,Urbano,54.0,4
f,Urbano,53.0,3
f,Rural,56.0,3
m,Rural,53.0,3
m,Urbano,56.0,2
f,Urbano,52.0,3
f,Rural,53.0,4
m,Urbano,53.0,4
f,Rural,55.0,5
m,Rural,56.0,3
f,Urbano,54.0,5
f,Urbano,54.0,5
f,Rural,54.0,5
m,Rural,53.0,4
f,Urbano,54.0,5
f,Rural,56.0,3
f,Rural,53.0,3
f,Rural,53.0,3
f,Urbano,53.0,5
f,Rural,55.0,4
m,Rural,54.0,4
m,Urbano,52.0,5
m,Urbano,56.0,5
f,Urbano,51.0,3
f,Urbano,55.0,3
m,Urbano,54.0,5
f,Rural,53.0,4
m,Urbano,58.0,3
m,Rural,51.0,5
m,Urbano,56.0,4
m,Rural,52.0,4
m,Rural,53.0,4
m,Rural,56.0,4
f,Rural,54.0,4
f,Urbano,54.0,4
m,Urbano,56.0,4
m,Urbano,54.0,3
m,Rural,54.0,4
f,Rural,53.0,5
m,Urbano,53.0,3
m,Rural,55.0,5
f,Rural,56.0,4
m,Urbano,52.0,4
f,Rural,54.0,3
f,Rural,55.0,5
m,Rural,52.0,3
f,Urbano,58.0,2
f,Urbano,56.0,3
f,Urbano,52.0,4
m,Rural,55.0,3
f,Urbano,53.0,4
m,Rural,54.0,5
f,Urbano,54.0,3
m,Rural,55.0,4
f,Rural,54.0,5
f,Rural,56.0,3
f,Rural,55.0,5
f,Urbano,54.0,4
m,Urbano,53.0,3
f,Rural,56.0,4
f,Urbano,55.0,5
m,Rural,54.0,5
f,Urbano,55.0,3
f,Rural,55.0,4
f,Urbano,56.0,5
f,Urbano,56.0,4
f,Rural,53.0,5
f,Rural,52.0,1
m,Urbano,55.0,2
f,Rural,55.0,2
m,Urbano,54.0,2
f,Urbano,54.0,2
f,Rural,56.0,4
m,Rural,56.0,4
m,Urbano,54.0,3
f,Rural,55.0,2
m,Rural,55.0,4
f,Urbano,53.0,4
m,Urbano,55.0,4
f,Urbano,53.0,4
f,Rural,54.0,4
m,Rural,56.0,5
f,Rural,53.0,4
f,Urbano,54.0,3
m,Rural,53.0,3
m,Rural,53.0,4
m,Urbano,56.0,5
m,Urbano,53.0,2
f,Urbano,56.0,5
f,Urbano,51.0,4
f,Rural,55.0,5
m,Rural,52.0,3
f,Rural,51.0,4
m,Urbano,55.0,5
m,Urbano,55.0,3
m,Rural,54.0,3
f,Urbano,53.0,4
m,Urbano,53.0,5
m,Rural,52.0,5
m,Rural,56.0,4
f,Urbano,54.0,4
f,Urbano,53.0,4
f,Urbano,53.0,3
f,Rural,54.0,4
f,Rural,53.0,4
m,Urbano,52.0,5
f,Urbano,53.0,2
f,Rural,53.0,4
m,Urbano,55.0,3
f,Rural,51.0,4
m,Rural,53.0,3
m,Rural,53.0,3
f,Urbano,53.0,5
m,Urbano,54.0,5
m,Rural,54.0,3
m,Rural,53.0,4
f,Urbano,52.0,2
m,Rural,55.0,3
m,Rural,54.0,3
m,Rural,55.0,2
f,Urbano,52.0,2
f,Rural,56.0,3
